0.00-23.00 press up
38.37 steer 19103
38.38 steer 19341
38.39 steer 19520
38.40 steer 19594
38.43 steer 18394
38.44 steer 15078
38.45 steer 12497
38.46 steer 0
38.64 steer 2396
38.65 steer 7061
38.66 steer 11956
38.68 steer 15672
38.69 steer 17137
38.70 steer 18472
38.71 steer 19635
38.72 steer 20823
38.73 steer 21853
38.74 steer 23424
38.75 steer 24002
38.76 steer 24452
38.77 steer 24823
38.78 steer 25502
38.79 steer 25975
38.80 steer 26502
38.81 steer 27032
38.82 steer 27509
38.83 steer 28491
38.84 steer 29174
38.85 steer 29858
38.86 steer 30498
38.87 steer 31541
38.88 steer 31924
38.89 steer 32218
38.90 steer 32479
38.91 steer 32844
38.92 steer 32968
38.93 steer 33080
38.94 steer 33408
38.95 steer 33863
38.96 steer 34805
38.97 steer 35787
38.98 steer 37470
38.99 steer 38094
39.00 steer 38606
39.01 steer 39028
39.02 steer 39365
39.03 steer 39826
39.04 steer 39977
39.05 steer 40099
39.06 steer 40287
39.07 steer 40360
39.11 steer 40526
39.33 steer 40269
39.34 steer 39688
39.35 steer 38725
39.36 steer 37888
39.37 steer 36720
39.38 steer 36351
39.39 steer 36069
39.40 steer 35663
39.41 steer 35519
39.42 steer 35404
39.44 steer 36303
39.45 steer 36984
39.46 steer 37704
39.47 steer 38883
39.48 steer 41546
39.49 steer 42828
39.50 steer 43948
39.51 steer 44845
39.52 steer 45507
39.53 steer 45904
39.54 steer 43482
39.55 steer 24105
39.56 steer 21564
39.57 steer 0
39.59 steer -6325
39.60 steer -24305
39.61 steer -26534
39.62 steer -45423
39.63 steer -46815
39.64 steer -51725
39.65 steer -54485
39.66 steer -65536
40.05 steer -65109
40.06 steer -64068
40.07 steer -59625
40.08 steer -43689
40.09 steer -42296
40.10 steer -37461
40.11 steer -34557
40.12 steer -31633
40.13 steer -28888
40.14 steer -24913
40.15 steer -23500
40.16 steer -22369
40.17 steer -21468
40.18 steer -20747
40.19 steer -19231
40.20 steer -18002
40.21 steer -16231
40.22 steer -13837
40.23 steer -8119
40.24 steer -5820
40.25 steer -3944
40.26 steer -2444
40.27 steer -1256
40.28 steer 0
40.34-43.98 press up
40.86 steer -12456
40.87 steer -14479
40.88 steer -34103
40.89 steer -35959
40.90 steer -57164
40.91 steer -58102
40.92 steer -65536
40.98 steer -65182
40.99 steer -63579
41.00 steer -60721
41.01 steer -40741
41.02 steer -18568
41.03 steer -16518
41.04 steer 0
41.50 steer -990
41.51 steer -3215
41.52 steer -7894
41.53 steer -10839
41.54 steer -13536
41.55 steer -15942
41.56 steer -18156
41.57 steer -19952
41.58 steer -22624
41.59 steer -23592
41.60 steer -24392
41.61 steer -25057
41.62 steer -25993
41.63 steer -26326
41.64 steer -26592
41.65 steer -26963
41.66 steer -27101
41.67 steer -27225
41.68 steer -27323
41.69 steer -27573
41.70 steer -28048
41.71 steer -28638
41.72 steer -30546
41.73 steer -31477
41.74 steer -32379
41.75 steer -33074
41.76 steer -33723
41.77 steer -34752
41.78 steer -35170
41.79 steer -35597
41.80 steer -36546
41.82 steer -37943
41.83 steer -39014
41.84 steer -40161
41.85 steer -42232
41.86 steer -42998
41.87 steer -43638
41.88 steer -44179
41.89 steer -44939
41.91 steer -45404
41.92 steer -45629
41.93 steer -45874
41.94 steer -46514
41.95 steer -46886
41.96 steer -47290
41.97 steer -47611
41.98 steer -47868
41.99 steer -48074
42.00 steer -48372
42.01 steer -48478
42.03 steer -48606
42.07 steer -48040
42.08 steer -47590
42.09 steer -47218
42.10 steer -46895
42.11 steer -46122
42.12 steer -45753
42.13 steer -45432
42.14 steer -45083
42.15 steer -44432
42.16 steer -44163
42.17 steer -43936
42.18 steer -43766
42.19 steer -43535
42.21 steer -43370
42.22 steer -43076
42.23 steer -42659
42.24 steer -41863
42.25 steer -41436
42.26 steer -41055
42.27 steer -40298
42.28 steer -39909
42.29 steer -39360
42.30 steer -38181
42.31 steer -37663
42.32 steer -37195
42.33 steer -36175
42.35 steer -34381
42.36 steer -33307
42.37 steer -31911
42.38 steer -30438
42.39 steer -27459
42.40 steer -25592
42.41 steer -23614
42.42 steer -21589
42.43 steer -17307
42.44 steer -15169
42.45 steer -13288
42.46 steer -11706
42.47 steer -10426
42.48 steer -9417
42.49 steer -7967
42.50 steer -7453
42.51 steer -7031
42.52 steer -6708
42.53 steer -6242
42.54 steer -6043
42.55 steer -5731
42.56 steer -4779
42.57 steer -3820
42.58 steer -2437
42.59 steer -1164
42.60 steer 0
42.74 steer -2279
42.75 steer -4605
42.76 steer -9630
42.77 steer -12275
42.78 steer -14678
42.79 steer -16812
42.80 steer -18818
42.81 steer -22527
42.82 steer -23995
42.83 steer -25156
42.84 steer -26810
42.85 steer -27420
42.86 steer -27908
42.87 steer -28300
42.88 steer -28601
42.89 steer -29034
42.90 steer -29188
42.91 steer -29312
42.92 steer -29477
42.93 steer -29541
42.98 steer -28261
43.00 steer -25982
43.01 steer -8731
43.02 steer -7064
43.03 steer -4490
43.04 steer -2066
43.05 steer 0
43.20 steer 793
43.21 steer 967
43.22 steer 1196
43.24 steer 1371
43.25 steer 724
43.26 steer 0
43.47 steer -1403
43.48 steer -3332
43.49 steer -5070
43.50 steer -6690
43.51 steer -8142
43.52 steer -12394
43.54 steer -29631
43.55 steer -49574
43.56 steer -51037
43.58 steer -55572
43.59 steer -65536
44.12-51.69 press up
44.30 steer -63804
44.31 steer -62357
44.32 steer -60684
44.33 steer -58448
44.34 steer -56028
44.35 steer -35897
44.36 steer -35122
44.37 steer -33663
44.38 steer -31842
44.39 steer -30071
44.40 steer -27064
44.41 steer -25988
44.42 steer -25101
44.43 steer -23592
44.44 steer -22988
44.45 steer -22479
44.46 steer -21809
44.47 steer -21640
44.48 steer -21555
44.49 steer -22085
44.50 steer -23621
44.51 steer -28571
44.52 steer -31493
44.53 steer -34211
44.54 steer -36558
44.55 steer -40177
44.57 steer -42500
44.58 steer -43294
44.59 steer -43943
